street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
7044 Lubao Ave,91306,Winnetka,SingleFamily,2018,292530.0,1953,8103,1282,2.0,3,537135,Winnetka,neighborhood
19444 Lanark St,91335,Reseda,SingleFamily,2018,448910.0,1955,8929,1296,2.0,4,564000,Reseda,neighborhood
1900 Jones Ave,90032,Los Angeles,SingleFamily,2018,104184.0,1930,4805,1264,2.0,3,594424,El Sereno,neighborhood
18946 Victory Blvd,91335,Tarzana,SingleFamily,2018,336686.0,1953,7447,1280,2.0,3,610028,Tarzana,neighborhood
3650 Beethoven St,90066,Los Angeles,MultiFamily2To4,2018,321734.0,1984,5749,450,1.0,0,1317849,Mar Vista,neighborhood
131 W 50th St,90037,Los Angeles,SingleFamily,2018,352633.0,1904,5441,1260,1.0,2,425968,Southeast Los Angeles,neighborhood
12475 Culver Blvd APT 2,90066,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,330,1.0,0,1419742,Del Rey,neighborhood
5806 Sylvia Ave,91356,Tarzana,SingleFamily,2018,457703.0,1996,6289,2146,3.0,3,867333,Tarzana,neighborhood
1419 S Alma St,90731,San Pedro,SingleFamily,2018,73420.0,1923,5313,1848,1.0,4,671484,San Pedro,neighborhood
15214 Wyandotte St,91405,Van Nuys,SingleFamily,2018,512050.0,1949,13224,2426,4.0,3,777907,Van Nuys,neighborhood
1397 W Ofarrell St,90732,San Pedro,SingleFamily,2018,67814.0,1940,7004,1804,2.0,3,739910,San Pedro,neighborhood
9756 Suffolk Dr,90210,Beverly Hills,SingleFamily,2018,4265640.0,1979,51540,4877,7.0,5,5177640,Beverly Crest,neighborhood
3433 Maceo St,90065,Los Angeles,Triplex,2018,52389.0,1911,5597,1968,3.0,4,746781,Cypress Park,neighborhood
1232 N Alexandria Ave,90029,Los Angeles,SingleFamily,2018,390453.0,1913,6401,1800,3.0,3,996719,Hollywood,neighborhood
1026 Manzanita St,90029,Los Angeles,SingleFamily,NA,NA,NA,NA,500,1.0,1,1089667,Silver Lake,neighborhood
10129 Woodman Ave,91345,Mission Hills,SingleFamily,2018,206647.0,1953,7911,1222,2.0,2,530535,Mission Hills,neighborhood
2317 W 37th St,90732,San Pedro,SingleFamily,2018,85708.0,1957,15111,1970,3.0,4,1116851,San Pedro,neighborhood
11531 Rincon Ave,91340,San Fernando,SingleFamily,2018,456082.0,1953,6969,960,1.0,3,468367,Mission Hills,neighborhood
4132 Cumberland Ave,90027,Los Angeles,SingleFamily,2018,561884.0,1921,4476,800,1.0,2,917086,Los Feliz,neighborhood
4621 5th Ave,90043,Los Angeles,Duplex,2018,343617.0,1965,6750,2660,2.0,3,749242,Hyde Park,neighborhood
851 N San Vicente Blvd APT 322,90069,West Hollywood,Condominium,2018,772731.0,2002,58476,1651,2.0,2,946430,West Hollywood,city
14224 Berg St,91342,Sylmar,SingleFamily,2018,77615.0,1946,7370,956,1.0,3,489153,Sylmar,neighborhood
10340 S Gramercy Pl,90047,Los Angeles,SingleFamily,2018,239927.0,1941,6534,988,1.0,3,474970,South Los Angeles,neighborhood
16846 Addison St,91436,Encino,SingleFamily,2018,116136.0,1949,10100,1823,2.0,2,1236528,Encino,neighborhood
439 Beech St,90065,Los Angeles,SingleFamily,2018,311685.0,1989,3761,1692,3.0,3,834735,Mount Washington,neighborhood
17532 Melville Pl,91344,Granada Hills,SingleFamily,2018,459957.0,1969,8276,2102,3.0,3,769019,Granada Hills,neighborhood
5223 Topanga Canyon Blvd,91364,Woodland Hills,Duplex,2018,552160.0,1948,6253,1480,2.0,4,768197,Woodland Hills,neighborhood
6605 S Figueroa St,90003,Los Angeles,MultiFamily2To4,2018,393720.0,1992,4804,1768,2.0,6,529266,South Los Angeles,neighborhood
4540 Yellowstone St,90032,Los Angeles,SingleFamily,2018,39157.0,1942,6666,1012,1.0,2,544432,El Sereno,neighborhood
1110 W 36th St,90007,San Pedro,SingleFamily,2018,477074.0,1958,5662,1593,2.0,3,957469,South Los Angeles,neighborhood
7601 Reseda Blvd,91335,Reseda,MultiFamily2To4,NA,NA,1980,NA,NA,NA,NA,748559,Reseda,neighborhood
1148 S Crescent Heights Blvd,90035,Los Angeles,Duplex,2018,193393.0,1933,5495,3204,2.0,4,1495713,South Carthay,neighborhood
17041 Magnolia Blvd,91316,Encino,SingleFamily,2018,1795650.0,1959,21780,3104,4.0,3,2402426,Encino,neighborhood
3808 S Redondo Blvd,90008,Los Angeles,SingleFamily,2018,404208.0,1947,8856,1265,1.0,3,860170,Crenshaw,neighborhood
11116 Carleen Ct,91042,Tujunga,Condominium,2018,488987.0,1986,149924,1593,3.0,3,556290,Tujunga,neighborhood
1208 4th Ave,90019,Los Angeles,SingleFamily,2018,662337.0,1922,8276,5058,4.0,8,1740012,Mid City,neighborhood
449 N Bernal Ave,90063,Los Angeles,Duplex,2018,247724.0,1959,4638,1025,2.0,2,502039,Boyle Heights,neighborhood
8015 De Garmo Ave,91352,Sun Valley,SingleFamily,2018,154398.0,1952,7318,993,1.0,2,512840,Sun Valley,neighborhood
6311 Gilday Dr,90068,Los Angeles,SingleFamily,2018,975630.0,2006,5388,3661,2.5,3,1948429,Hollywood Hills,neighborhood
11034 White Oak Ave,91344,Granada Hills,SingleFamily,2018,328996.0,1949,6969,1239,2.0,3,568040,Granada Hills,neighborhood
19 Beverly Ridge Ter,90210,Beverly Hills,SingleFamily,2018,1.7581402E7,2012,828179,24545,12.0,8,84143950,Beverly Crest,neighborhood
7911 Naylor Ave,90045,LOS ANGELES,SingleFamily,2017,150664.0,1942,7095,2029,2.0,3,1400829,Westchester,neighborhood
8353 Gladbeck Ave,91324,Northridge,SingleFamily,2018,446084.0,1957,7853,1548,2.0,3,617417,Northridge,neighborhood
1303 W Don St,90744,Wilmington,SingleFamily,2018,51735.0,1962,5006,939,1.0,3,480611,Wilmington,neighborhood
3954 Dalton Ave,90062,Los Angeles,SingleFamily,2018,346849.0,NA,NA,NA,NA,NA,622861,South Los Angeles,neighborhood
6421 W 85th Pl,90045,Los Angeles,SingleFamily,2018,152142.0,1942,6033,1317,2.0,2,1037501,Westchester,neighborhood
5210 S Manhattan Pl,90062,Los Angeles,Duplex,2018,229828.0,1912,5676,1604,2.0,3,515728,South Los Angeles,neighborhood
600 S Chicago St,90023,Los Angeles,SingleFamily,2018,286795.0,1924,5009,1978,2.0,2,531221,Boyle Heights,neighborhood
7928 Chase Ave,90045,Los Angeles,SingleFamily,2018,804682.0,1949,6250,1785,2.0,3,1412847,Westchester,neighborhood
2119 S Sycamore Ave,90016,Los Angeles,Duplex,2018,292007.0,1924,5402,1823,2.0,4,816125,Mid City,neighborhood
1014 W Sandison St,90744,Wilmington,SingleFamily,2018,258676.0,1923,6227,620,2.0,2,402946,Wilmington,neighborhood
3518 Barry Ave,90066,Los Angeles,SingleFamily,2018,628972.0,1946,5829,1461,2.0,3,1716259,Mar Vista,neighborhood
849 S Highland Ave,90036,Los Angeles,SingleFamily,2018,1405579.0,1925,7492,2632,3.0,4,2248615,Mid City,neighborhood
222 Bernard Ave,90291,Venice,SingleFamily,2018,236361.0,1950,4231,890,2.0,2,1622611,Venice,neighborhood
12919 Dewey St,90066,Los Angeles,SingleFamily,2018,99315.0,1953,6049,1194,2.0,3,2901733,Mar Vista,neighborhood
9066 Morning Glow Way,91352,Sun Valley,SingleFamily,2018,1150000.0,1989,20350,3100,3.0,4,1125495,La Tuna Canyon,neighborhood
14701 Covello St,91405,Van Nuys,SingleFamily,2018,435179.0,1948,5793,1385,2.0,3,540849,Van Nuys,neighborhood
2201 S Spaulding Ave,90016,Los Angeles,SingleFamily,2018,481072.0,1939,4873,1080,1.0,2,878532,Mid City,neighborhood
2246 Parnell Ave,90064,Los Angeles,SingleFamily,2018,276459.0,1937,6076,1893,2.0,3,1701746,West Los Angeles,neighborhood
9595 Hillhaven Ave,91042,Tujunga,SingleFamily,2018,384373.0,1940,NA,2061,2.0,4,746692,Tujunga,neighborhood
3839 Carnavon Way,90027,Los Angeles,SingleFamily,2018,2521409.0,1939,9443,3301,4.0,4,3007180,Los Feliz,neighborhood
9322 Burnet Ave,91343,Los Angeles,Townhouse,2018,426563.0,1990,64555,2110,3.0,3,479414,North Hills,neighborhood
11133 Archwood Pl,91606,North Hollywood,SingleFamily,2018,211877.0,1942,7240,1000,2.0,3,561962,North Hollywood,neighborhood
8419 Corbin Ave,91306,Winnetka,SingleFamily,2018,249520.0,1949,6098,1272,2.0,3,553089,Winnetka,neighborhood
3401 S Dunsmuir Ave,90016,Los Angeles,SingleFamily,2018,622324.0,1948,7236,1572,2.0,3,836243,West Adams,neighborhood
10419 Troon Ave,90064,Los Angeles,SingleFamily,2018,1506511.0,1928,11856,4014,6.0,4,3528992,Cheviot Hills,neighborhood
1510 Highgate Ave,90042,Los Angeles,SingleFamily,2018,266617.0,1923,6176,704,1.0,2,735949,Highland Park,neighborhood
10374 Lorenzo Dr,90064,Los Angeles,SingleFamily,2018,1456560.0,1938,7510,1321,2.0,2,2175734,Cheviot Hills,neighborhood
6107 Atoll Ave,91401,Van Nuys,SingleFamily,2018,254775.0,1958,7139,2248,3.0,4,870313,Valley Glen,neighborhood
13110 Whistler Ave,91344,Granada Hills,SingleFamily,2018,124916.0,1965,7933,2625,3.0,5,787420,Granada Hills,neighborhood
1427 Lagoon Ave,90744,Wilmington,SingleFamily,2018,263393.0,1924,5549,1456,3.0,4,527283,Wilmington,neighborhood
13327 Pasha Pl,91342,Sylmar,SingleFamily,2018,67821.0,1956,9374,1128,2.0,3,552465,Sylmar,neighborhood
6307 Shirley Ave,91335,Tarzana,SingleFamily,2018,103035.0,NA,NA,NA,NA,NA,662864,Tarzana,neighborhood
11242 Amestoy Ave,91344,Granada Hills,SingleFamily,2018,590738.0,1954,7505,2075,3.0,5,688646,Granada Hills,neighborhood
7444 Amigo Ave,91335,Reseda,SingleFamily,2018,45506.0,1928,6248,400,1.0,1,442918,Reseda,neighborhood
340 E 118th Pl,90061,Los Angeles,SingleFamily,2018,23215.0,1909,5662,918,1.0,2,377582,Southeast Los Angeles,neighborhood
1811 S Crescent Heights Blvd,90035,Los Angeles,SingleFamily,2018,786476.0,1940,6550,1318,1.0,2,1259054,Crestview,neighborhood
1307 W 69th St,90044,Los Angeles,SingleFamily,2018,378930.0,1920,4687,1145,2.0,2,432570,South Los Angeles,neighborhood
2345 S Gaffey St,90731,San Pedro,SingleFamily,2018,652306.0,1939,11717,1779,2.0,3,749692,San Pedro,neighborhood
7672 Coldwater Canyon Ct,91605,North Hollywood,SingleFamily,2018,794000.0,2006,6231,2689,4.0,4,903114,Sun Valley,neighborhood
1209 Dewey Ave,90006,Los Angeles,Duplex,2018,35712.0,1895,5911,1615,2.0,4,946199,Harvard Heights,neighborhood
2049 Echo Park Ave,90026,Los Angeles,SingleFamily,2018,145835.0,1907,5227,1064,1.0,2,893026,Echo Park,neighborhood
12312 Lull St,91605,North Hollywood,SingleFamily,2018,485774.0,1951,5488,1500,2.0,3,590125,Sun Valley,neighborhood
211 N Saratoga St,90033,Los Angeles,Triplex,2018,49718.0,1908,6970,1758,3.0,4,571128,Boyle Heights,neighborhood
2820 W Slauson Ave,90043,Los Angeles,MultiFamily2To4,2018,288398.0,1960,2766,3326,8.0,12,823704,Hyde Park,neighborhood
16631 San Fernando Mission Blvd,91344,Granada Hills,SingleFamily,2018,335496.0,1955,7987,1346,2.0,4,564815,Granada Hills,neighborhood
12551 Barbara Ave,90066,Los Angeles,SingleFamily,2018,699746.0,1947,7607,1376,2.0,3,1334688,Mar Vista,neighborhood
3655 Motor Ave APT 6,90034,Los Angeles,Condominium,NA,NA,2006,NA,765,1.5,1,827994,Palms,neighborhood
16840 Superior St,91343,Northridge,SingleFamily,2018,85705.0,1963,7692,2056,2.5,4,701707,Northridge,neighborhood
1244 Stradella Rd,90077,Los Angeles,SingleFamily,2018,1589174.0,1962,8825,3500,4.0,4,3142315,Bel Air,neighborhood
16358 Mandalay Dr,91436,Encino,SingleFamily,2018,888262.0,1957,11725,3066,3.0,4,1846012,Encino,neighborhood
13150 Welby Way,91606,North Hollywood,SingleFamily,2018,375323.0,1950,6399,1274,2.0,3,651722,Valley Glen,neighborhood
1601 W 207th St,90501,Torrance,Duplex,2018,506441.0,1952,7006,1850,2.0,5,679698,Harbor Gateway,neighborhood
18649 Blythe St,91335,Reseda,SingleFamily,2018,150213.0,1977,8108,1726,2.0,4,609393,Reseda,neighborhood
12739 Appleton Way,90066,Los Angeles,SingleFamily,2018,516662.0,2018,5500,2689,3.0,4,2253313,Mar Vista,neighborhood
12552 Huston St,91607,Valley Village,SingleFamily,2018,115011.0,1955,5867,1788,2.0,3,1058065,Valley Village,neighborhood
6437 Lexington Ave,90038,Los Angeles,SingleFamily,2018,84318.0,1922,6925,1025,1.0,2,1177010,Hollywood,neighborhood
24500 Starlight Ln,91307,West Hills,SingleFamily,2018,724328.0,1987,10380,2813,2.0,4,937579,West Hills,neighborhood
5360 Navarro St,90032,Los Angeles,Duplex,2018,211697.0,1925,7376,1590,2.0,2,618068,El Sereno,neighborhood
1014 S Wycliff Ave,90732,San Pedro,SingleFamily,2018,357143.0,1950,5601,1034,1.0,2,760085,San Pedro,neighborhood
234 W 58th St,90037,Los Angeles,SingleFamily,2018,242421.0,1912,4840,1180,2.0,3,427671,Southeast Los Angeles,neighborhood
335 E 104th St,90003,Los Angeles,MultiFamily2To4,2018,705000.0,2013,3637,5176,3.0,5,780950,Southeast Los Angeles,neighborhood
3473 Maplewood Ave,90066,Los Angeles,SingleFamily,2018,941991.0,1947,4904,1125,1.0,3,2102647,Mar Vista,neighborhood
7248 White Oak Ave,91406,Van Nuys,SingleFamily,2018,466000.0,1950,6119,985,1.0,2,505320,Lake Balboa,neighborhood
1416 Malvern Ave,90006,Los Angeles,MultiFamily2To4,2018,622500.0,1915,6364,3135,4.0,5,879148,Pico-Union,neighborhood
7928 Clearfield Ave,91402,Panorama City,SingleFamily,2018,153539.0,1968,6180,806,1.0,2,500818,Panorama City,neighborhood
6448 Aqueduct Ave,91406,Van Nuys,SingleFamily,2018,387445.0,1950,6577,1324,1.0,3,561281,Van Nuys,neighborhood
825 Howard St,90292,Marina Del Rey,SingleFamily,2018,1903931.0,2008,3450,3060,4.5,4,3079722,Venice,neighborhood
5745 Wallis Ln,91367,Woodland Hills,SingleFamily,2018,590585.0,1961,19602,2200,2.0,3,851758,Woodland Hills,neighborhood
4635 Don Pio Dr,91364,Woodland Hills,SingleFamily,2018,99916.0,1957,7328,1787,2.0,3,793950,Woodland Hills,neighborhood
1019 Marco Pl,90291,Venice,SingleFamily,2018,643723.0,1953,3998,1118,1.0,3,1785834,Venice,neighborhood
6200 Roy St,90042,Los Angeles,SingleFamily,2018,186065.0,1922,4329,1066,1.0,3,736040,Highland Park,neighborhood
763 W Imperial Hwy,90044,Los Angeles,Quadruplex,2018,218743.0,1950,8817,2926,4.0,5,722990,South Los Angeles,neighborhood
14856 Lorne St,91402,Panorama City,SingleFamily,2018,276985.0,1955,6316,1535,2.0,3,557257,Panorama City,neighborhood
2639 Granada St,90065,Los Angeles,SingleFamily,NA,NA,NA,NA,700,1.0,1,784737,Cypress Park,neighborhood
840 W 62nd St,90044,Los Angeles,Duplex,2018,215538.0,1926,5520,1691,2.0,3,498804,South Los Angeles,neighborhood
10224 Mather Ave,91040,Sunland,SingleFamily,2018,190162.0,1950,6428,1517,2.0,3,649978,Sunland,neighborhood
5743 Murietta Ave,91401,Van Nuys,SingleFamily,2018,241040.0,1956,5463,1600,2.0,3,811794,Valley Glen,neighborhood
1733 Clear View Dr,90210,Beverly Hills,SingleFamily,2018,198615.0,1960,10676,2306,3.0,4,2341814,Beverly Crest,neighborhood
19220 Briarfield Way,91356,Tarzana,SingleFamily,2018,1351373.0,NA,NA,NA,NA,NA,2987416,Tarzana,neighborhood
5510 Owensmouth Ave,91367,Woodland Hills,MultiFamily2To4,NA,NA,1987,NA,820,2.0,2,778124,Woodland Hills,neighborhood
2458 S Centinela Ave,90064,Los Angeles,Quadruplex,2018,348230.0,1954,4356,2352,4.0,4,1475704,Mar Vista,neighborhood
9707 Saturn St,90035,Los Angeles,SingleFamily,2018,535818.0,1946,5824,3904,4.0,5,2918155,Pico-Robertson,neighborhood
1160 Alvira St,90035,Los Angeles,SingleFamily,2018,508000.0,1934,6372,2418,3.0,4,1664709,South Carthay,neighborhood
7618 W 83rd St,90293,Playa Del Rey,SingleFamily,2018,993512.0,1963,6150,2414,2.0,4,1519421,Playa Del Rey,neighborhood
19538 Hemmingway St,91335,Reseda,SingleFamily,2018,435724.0,1953,7405,1297,2.0,3,557059,Reseda,neighborhood
7956 Yolanda Ave,91335,Reseda,SingleFamily,2018,413088.0,1977,8967,1648,2.0,4,603732,Reseda,neighborhood
11264 La Grange Ave,90025,Los Angeles,Duplex,2018,1518040.0,1947,5013,2116,2.0,3,1571065,Sawtelle,neighborhood
3459 Barry Ave,90066,Los Angeles,SingleFamily,2018,1021007.0,1946,7250,2000,2.0,3,1936201,Mar Vista,neighborhood
285 W 6th St APT 518,90731,Los Angeles,Condominium,NA,NA,2006,60494,1050,2.0,2,462453,San Pedro,neighborhood
3700 W 63rd St,90043,Los Angeles,SingleFamily,2018,278984.0,1936,6118,1926,2.0,3,741851,Hyde Park,neighborhood
211 W 51st St,90037,Los Angeles,SingleFamily,2018,336600.0,1911,5662,1379,1.5,2,432019,Southeast Los Angeles,neighborhood
4126 W 22nd Pl,90018,Los Angeles,Duplex,2018,194240.0,1924,4793,1824,2.0,2,771131,Jefferson Park,neighborhood
3223 Pasadena Ave,90031,Los Angeles,Quadruplex,2018,346798.0,1923,7121,3040,4.0,4,902354,Lincoln Heights,neighborhood
5226 Leghorn Ave,91401,Sherman Oaks,SingleFamily,2018,672079.0,1924,10874,1434,1.0,3,1044228,Sherman Oaks,neighborhood
5232 Buffalo Ave,91401,Sherman Oaks,SingleFamily,2018,84841.0,1950,6849,1302,2.0,3,876402,Sherman Oaks,neighborhood
1624 Camden Ave APT 14,90025,Los Angeles,Apartment,NA,NA,NA,NA,830,1.0,1,2257956,Westwood,neighborhood
14582 Valley Vista Blvd,91403,Sherman Oaks,SingleFamily,2018,1326000.0,1956,17225,2629,2.5,4,1726341,Sherman Oaks,neighborhood
314 E 70th St,90003,Los Angeles,SingleFamily,2018,244493.0,1937,4495,800,1.0,2,361378,Southeast Los Angeles,neighborhood
9149 Vena Ave,91331,Arleta,SingleFamily,2018,234725.0,1953,6042,1951,2.0,4,554759,Arleta,neighborhood
13623 Glenoaks Blvd,91342,Sylmar,SingleFamily,2018,322750.0,1979,19019,2782,3.0,4,793915,Sylmar,neighborhood
455 W 12th St,90015,San Pedro,Duplex,2018,193435.0,1917,5000,1753,2.0,3,575199,Downtown,neighborhood
5814 Meridian St,90042,Los Angeles,SingleFamily,2018,243426.0,1978,4416,1344,2.0,3,830335,Highland Park,neighborhood
13439 Fernmont St,91340,San Fernando,SingleFamily,2018,220161.0,1942,8098,1464,2.0,3,523825,Sylmar,neighborhood
3814 S Norton Ave,90008,Los Angeles,SingleFamily,2018,75359.0,1956,5950,1622,2.0,3,980717,Leimert Park,neighborhood
12082 Hoyt St,91342,Sylmar,SingleFamily,2018,258956.0,1964,7422,1230,2.0,3,528939,Lakeview Terrace,neighborhood
837 N Hudson Ave # 406,90038,Los Angeles,Unknown,2018,607754.0,2007,6969,1160,3.0,2,1379216,Hollywood,neighborhood
12725 Hatteras St,91607,Valley Village,SingleFamily,2018,897772.0,1947,7557,2025,3.0,4,936430,Valley Glen,neighborhood
1521 W 187th Pl,90248,Gardena,SingleFamily,2018,489600.0,1955,4791,1096,2.0,3,556017,Harbor Gateway,neighborhood
12652 Sarah St,91604,Studio City,SingleFamily,2018,975467.0,1952,6836,1786,2.0,3,1382492,Studio City,neighborhood
7023 Kittyhawk Ave,90045,Los Angeles,Duplex,2018,303103.0,1949,6872,1652,2.0,4,998869,Westchester,neighborhood
7641 Thousand Oaks Dr,91042,Tujunga,SingleFamily,2018,175395.0,1920,6041,806,2.0,2,561547,Tujunga,neighborhood
918 S Oxford Ave # 1-342,90006,Los Angeles,MultiFamily5Plus,NA,NA,2008,NA,647,1.0,1,831752,Koreatown,neighborhood
707 E 110th St,90059,Los Angeles,SingleFamily,2018,232750.0,1925,4803,864,1.0,2,338697,Southeast Los Angeles,neighborhood
5032 Doman Ave,91356,Tarzana,SingleFamily,2018,818798.0,1950,7405,2000,3.0,4,1051585,Tarzana,neighborhood
10436 Jimenez St,91342,Sylmar,SingleFamily,2018,422792.0,1957,10768,1986,3.0,4,703752,Lakeview Terrace,neighborhood
12214 Huston St,91607,Valley Village,SingleFamily,2018,76654.0,1950,7015,918,1.0,2,1011823,Valley Village,neighborhood
13320 Chalon Rd,90049,Los Angeles,SingleFamily,2018,1721711.0,NA,NA,NA,3.0,4,2451407,Brentwood,neighborhood
651 N Kilkea Dr,90048,Los Angeles,SingleFamily,2018,1401771.0,1948,6552,3572,4.0,6,3109002,Mid City West,neighborhood
4909 S Slauson Ave,90230,Los Angeles,Quadruplex,2018,234517.0,1956,6898,3136,4.0,8,1568168,Del Rey,neighborhood
2825 S Rimpau Blvd,90016,Los Angeles,SingleFamily,2018,561815.0,1921,5200,1200,1.0,3,754358,West Adams,neighborhood
9015 Monogram Ave,91343,North Hills,SingleFamily,2018,79241.0,1960,7684,1819,2.0,3,630503,North Hills,neighborhood
9900 Shirley Ave,91324,Northridge,SingleFamily,2018,290314.0,1968,16010,4188,4.5,5,1083241,Northridge,neighborhood
3610 Marcia Dr,90026,Los Angeles,Quadruplex,2018,320625.0,1962,5446,3596,4.0,8,1451895,Silver Lake,neighborhood
1040 W 19th St,90731,San Pedro,Duplex,2018,388361.0,1937,5002,1968,2.0,4,721773,San Pedro,neighborhood
1578 E 51st St,90011,Los Angeles,Duplex,2018,154574.0,1921,5400,1320,2.0,4,448523,Southeast Los Angeles,neighborhood
23323 Lockness Ave,90710,Harbor City,SingleFamily,2018,338777.0,1969,5312,1574,2.0,4,641390,Harbor City,neighborhood
2219 Trinity St,90011,Los Angeles,Quadruplex,2018,37862.0,1913,6775,2710,4.0,4,708492,Central City,neighborhood
17004 Oak View Dr,91436,Encino,SingleFamily,2018,506607.0,1961,17132,2535,3.0,4,1331720,Encino,neighborhood
6401 W 87th St,90045,Los Angeles,SingleFamily,2018,166196.0,1944,5619,1159,1.0,3,926180,Westchester,neighborhood
3255 Palmer Dr,90065,Los Angeles,SingleFamily,2018,977975.0,1941,17336,1906,3.0,3,995386,Glassell Park,neighborhood
1133 S Hoover St APT 417,90006,Los Angeles,MultiFamily2To4,2018,340909.0,2006,21830,1140,3.0,2,636790,Harvard Heights,neighborhood
13201 Crowley St,91331,Arleta,SingleFamily,2018,362160.0,1954,6090,1504,3.0,3,525848,Arleta,neighborhood
2149 W 29th St,90018,Los Angeles,SingleFamily,2018,38940.0,1909,5719,1860,2.0,8,797382,Jefferson Park,neighborhood
1041 5th Ave,90019,Los Angeles,SingleFamily,2018,233336.0,1919,6500,1783,2.0,4,1117560,Mid City,neighborhood
4405 Gayle Dr,91356,Tarzana,SingleFamily,2018,173627.0,1969,20526,2538,3.0,4,1222917,Tarzana,neighborhood
424 N Detroit St,90036,Los Angeles,SingleFamily,2018,372152.0,1938,6423,1744,2.0,2,1608945,Mid City West,neighborhood
12303 Hillslope St,91604,Studio City,SingleFamily,2018,138072.0,1967,5399,2160,2.5,3,1382966,Studio City,neighborhood
10855 Morrison St APT 7,91601,North Hollywood,Apartment,NA,NA,NA,NA,NA,1.0,1,1140290,North Hollywood,neighborhood
2115 W 84th St,90047,Los Angeles,SingleFamily,2018,227034.0,1929,5662,1960,2.0,4,635255,South Los Angeles,neighborhood
8040 Mason Ave,91306,Winnetka,SingleFamily,2018,290322.0,1954,8399,1219,2.0,3,546449,Winnetka,neighborhood
1657 Golden Gate Ave,90026,Los Angeles,SingleFamily,2018,665856.0,1921,7971,1656,3.0,5,1316362,Silver Lake,neighborhood
1825 W 48th St,90062,Los Angeles,Duplex,2018,525402.0,1926,6303,2196,2.0,4,607715,South Los Angeles,neighborhood
7549 Etiwanda Ave,91335,Reseda,SingleFamily,2018,453000.0,1950,8502,1251,2.0,3,573222,Reseda,neighborhood
8916 S Manhattan Pl,90047,Los Angeles,SingleFamily,2018,277957.0,1939,5201,1064,1.0,2,450321,South Los Angeles,neighborhood
12910 Osborne St,91331,Pacoima,SingleFamily,2018,189511.0,1944,11452,1362,2.0,3,447772,Pacoima,neighborhood
3459 Hunter St,90023,Los Angeles,SingleFamily,2018,166159.0,1905,2423,700,1.0,1,372286,Boyle Heights,neighborhood
19534 Gilmore St,91335,Reseda,SingleFamily,2018,443870.0,1956,6534,1377,2.0,3,591225,Tarzana,neighborhood
755 E 94th St,90002,Los Angeles,SingleFamily,2018,79797.0,1926,5029,1250,2.0,2,395573,Southeast Los Angeles,neighborhood
1208 W 64th St,90044,Los Angeles,Duplex,2018,221904.0,1924,4759,1441,2.0,3,475842,South Los Angeles,neighborhood
1916 Bardale Ave,90731,San Pedro,SingleFamily,2018,121530.0,1961,5101,1556,2.0,3,703249,San Pedro,neighborhood
10323 Ilona Ave,90064,Los Angeles,Condominium,2018,2611683.0,2006,6761,3887,5.0,5,3055725,Century City,neighborhood
5200 Vanalden Ave,91356,Tarzana,SingleFamily,2018,544223.0,1951,23805,1622,2.0,2,1574418,Tarzana,neighborhood
14614 Tundra Dr,91342,Sylmar,Condominium,2018,404034.0,2001,94122,1818,3.0,4,503389,Sylmar,neighborhood
471 Parkwood Dr,90077,Los Angeles,SingleFamily,2018,7640555.0,1987,46297,12709,8.0,8,20475578,Beverly Crest,neighborhood
3927 Hayvenhurst Ave,91436,Encino,SingleFamily,2018,837505.0,1955,11917,2468,2.0,4,1479376,Encino,neighborhood
6200 Enfield Ave,91316,Encino,SingleFamily,2018,278546.0,1956,7533,1597,2.0,4,750806,Encino,neighborhood
8312 Maple Dr,90046,Los Angeles,SingleFamily,2018,254889.0,NA,NA,1340,2.5,NA,1274975,Hollywood Hills,neighborhood
950 W 13th St,90731,San Pedro,SingleFamily,NA,NA,NA,NA,NA,1.0,1,657091,San Pedro,neighborhood
6909 Willis Ave,91405,Van Nuys,SingleFamily,2018,378787.0,1954,NA,1418,2.0,4,664818,Van Nuys,neighborhood
4515 Mont Eagle Pl,90041,Los Angeles,Duplex,2018,575768.0,1924,9723,1915,2.0,3,909212,Eagle Rock,neighborhood
1378 Morningside Way,90291,Venice,SingleFamily,2018,478322.0,1947,10881,3753,3.0,7,2842801,Venice,neighborhood
8049 Crosnoe Ave,91402,Panorama City,SingleFamily,2018,209073.0,1955,6247,1465,2.0,3,580047,Arleta,neighborhood
963 W Summerland Ave,90731,San Pedro,SingleFamily,2018,82136.0,1926,4764,988,1.0,2,511471,San Pedro,neighborhood
913 W Channel St,90731,San Pedro,SingleFamily,2018,793461.0,2003,7980,2570,3.0,3,823796,San Pedro,neighborhood
5936 Nora Lynn Dr,91367,Woodland Hills,SingleFamily,2018,995675.0,1985,10890,4984,5.0,5,1674589,Woodland Hills,neighborhood
2267 E 108th St,90059,Los Angeles,SingleFamily,2018,348506.0,1916,6315,2172,2.0,4,484958,Watts,neighborhood
2202 Holly Dr,90068,Los Angeles,SingleFamily,2018,237773.0,1917,9120,NA,NA,NA,1349266,Hollywood Hills,neighborhood
5866 Alonzo Ave,91316,Encino,SingleFamily,2018,64374.0,1949,6054,1012,1.0,3,637128,Encino,neighborhood
16063 Acre St,91343,North Hills,SingleFamily,2018,109500.0,1957,7501,1754,2.0,3,638068,North Hills,neighborhood
